from,to,from_word,to_word,weight
6,1347,love,lust,0.144366197183099
6,1371,love,puppy,0.0472973
6,1476,love,lover,0.041958041958042
6,1504,love,married,0.0410958904109589
6,1655,love,yours,0.01818182
6,1766,love,mate,0.0320284697508897
6,1792,love,pray,0.02068966
6,1814,love,mum,0.0213523131672598
8,25,sex,woman,0.02372881
8,65,sex,wet,0.02027027
8,233,sex,sexy,0.03597122
8,584,sex,vagina,0.1166078
8,777,sex,sexual,0.05
8,839,sex,sin,0.02517986
8,1367,sex,whore,0.03521127
8,1514,sex,virgin,0.1
9,36,cold,warm,0.09863946
9,62,cold,metal,0.041958041958042
9,64,cold,sick,0.02027027
9,65,cold,wet,0.04391892
9,79,cold,rain,0.04026846
9,108,cold,milk,0.0167785234899329
9,141,cold,wind,0.06462585
9,193,cold,stone,0.05190311
9,213,cold,out,0.0181159420289855
9,399,cold,prison,0.01694915
9,467,cold,outside,0.0664335664335664
9,543,cold,naked,0.0206896551724138
9,575,cold,warmth,0.02422145
9,597,cold,jacket,0.0795847750865052
9,812,cold,sickness,0.02068966
9,912,cold,north,0.0790378006872852
9,981,cold,steel,0.02768166
9,1011,cold,sneeze,0.1052632
9,1034,cold,russia,0.1050847
9,1036,cold,sweater,0.05067568
9,1151,cold,revenge,0.02826855
9,1212,cold,snot,0.03873239
9,1331,cold,zero,0.02380952
9,1380,cold,tissue,0.03412969
9,1399,cold,moist,0.0136054421768707
9,1464,cold,raw,0.01724138
9,1588,cold,minus,0.0172413793103448
9,1709,cold,mist,0.0207612456747405
9,1851,cold,scarf,0.05882353
10,11,bad,dog,0.0168918918918919
10,23,bad,war,0.01346801
10,49,bad,mean,0.0171821305841924
10,55,bad,smell,0.04123711
10,93,bad,wrong,0.06666667
10,94,bad,evil,0.0844594594594595
10,99,bad,poor,0.02097902
10,107,bad,rude,0.02536232
10,195,bad,boy,0.027027027027027
10,286,bad,smelly,0.02068966
10,302,bad,news,0.0203389830508475
10,341,bad,trouble,0.07067138
10,362,bad,nasty,0.0353356890459364
10,363,bad,mistake,0.028673835125448
10,528,bad,liar,0.043956043956044
10,545,bad,lies,0.0183823529411765
10,562,bad,off,0.0138888888888889
10,629,bad,bully,0.0209059233449477
10,649,bad,shame,0.03125
10,653,bad,breath,0.0213523131672598
10,663,bad,cheat,0.0249110320284698
10,839,bad,sin,0.07194245
10,843,bad,punishment,0.04166667
10,874,bad,naughty,0.2014994446501294
10,944,bad,luck,0.041522491349481
10,1014,bad,situation,0.02661597
10,1122,bad,insult,0.0176678445229682
10,1238,bad,regret,0.02135231
10,1278,bad,stink,0.02517986
10,1323,bad,rotten,0.0956394537837838
10,1378,bad,mood,0.0392857142857143
10,1425,bad,swear,0.01785714
10,1457,bad,irritating,0.0106382978723404
10,1560,bad,smoking,0.03114187
10,1602,bad,prevent,0.01145038
10,1702,bad,lying,0.025089605734767
10,1773,bad,spoiled,0.03859649
10,1798,bad,suck,0.07017544
10,1800,bad,incorrect,0.0462633451957295
10,1805,bad,blame,0.0186567164179104
10,1826,bad,slavery,0.02033898
10,1853,bad,villain,0.08098592
10,1874,bad,punish,0.04363636
11,65,dog,wet,0.03040541
11,171,dog,walk,0.05136986
11,231,dog,lazy,0.0347222222222222
11,260,dog,stick,0.02693603
11,309,dog,sheep,0.02389078
11,472,dog,poop,0.06741573
11,498,dog,park,0.0203389830508475
11,816,dog,tail,0.1083916
11,825,dog,pet,0.22108843537415
11,838,dog,lead,0.0277777777777778
11,869,dog,sit,0.05479452
11,927,dog,roof,0.02739726
11,951,dog,scent,0.01730104
11,1000,dog,spots,0.06825939
11,1069,dog,spot,0.1503497
11,1074,dog,stay,0.05614035
11,1109,dog,lucky,0.0212765957446809
11,1171,dog,scratch,0.01388889
11,1371,dog,puppy,0.2466216
11,1377,dog,mammal,0.0347222222222222
11,1453,dog,the,0.02692308
11,1510,dog,lab,0.0945945945945946
11,1555,dog,loyal,0.15807560137457
11,1618,dog,trustworthy,0.01792115
11,1664,dog,pound,0.03424658
11,1804,dog,treat,0.02721088
11,1832,dog,ownership,0.0224719101123595
12,513,sad,upset,0.1418685
12,603,sad,sorry,0.1145833
12,637,sad,unhappy,0.33621626
12,649,sad,shame,0.046875
12,683,sad,tears,0.15212106
