node_id,word,y_ldt_z,y_ldt_raw_zscore,y_ldt_rt_ms,ldt_accuracy,ldt_obs,ldt_sd,y_naming_z,y_naming_raw_zscore,y_naming_rt_ms,naming_accuracy,naming_obs,length,z_length,log_freq_hal,z_log_freq_hal,lgsubtlwf,z_lgsubtlwf,ortho_n,z_ortho_n,old,z_old,nphon,z_nphon,nsyll,z_nsyll,nmorph,z_nmorph,age_of_acquisition,z_age_of_acquisition,emotional_valence,z_emotional_valence,emotional_arousal,z_emotional_arousal,emotional_dominance,z_emotional_dominance,body_object_interaction,z_body_object_interaction
11,dog,-1.9089369401791259,-0.91,555.562,0.97,27.0,192.317,-0.8477975260297368,-0.672,562.37,1.0,,3,-1.4560082380105148,10.974,0.7361787794584397,3.993,1.075666334260228,19,2.056972969604168,1.2,-1.1201645421484026,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,2.8,-1.7078513995570397,7.0,1.1153695000636703,5.43,1.1756088016229793,5.73,0.29900620629998814,6.4,1.7268154099968884
12,sad,-0.4909349178509144,-0.68,574.031,0.94,27.0,156.729,0.40026506293013137,-0.431,628.333,1.0,,3,-1.4560082380105148,9.752,-0.04099441021053005,3.51,0.3890068033832562,22,2.5258532943834386,1.0,-1.442781433993583,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.24,-1.4767695005044255,2.1,-2.2822842653925526,3.49,-0.757419976594643,3.84,-1.5733459034966009,2.167,-0.8614696261097236
13,school,-0.8731789412611276,-0.742,576.969,0.97,26.0,208.379,1.6897571154239368,-0.182,678.077,1.0,,6,0.3274142236247869,11.695,1.1947236810552706,4.23,1.412598650653277,0,-0.9126024206645457,2.3,0.654228363000089,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,3.89,-1.1353985132676094,5.41,0.012865523109508347,4.57,0.3186991370522811,5.88,0.44760558009336765,5.16,0.9686123755597991
14,fun,-1.9952501067556259,-0.924,509.576,1.0,26.0,88.863,-1.1274464048838149,-0.726,596.192,1.0,,3,-1.4560082380105148,11.234,0.901534777260348,4.08,1.199350349138689,15,1.4317992032318072,1.3,-0.9588560962258122,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.67,-1.2509394627939165,8.37,2.065325756936124,6.32,2.062410663794982,7.04,1.5967740707621734,2.043,-0.9372899295534323
15,black,0.6804580571158695,-0.49,658.029,1.0,26.0,289.524,-1.7126375773006823,-0.839,518.538,0.963,,5,-0.267059930253647,11.988,1.3810671708858826,3.933,0.990367013654393,5,-0.13113521269909467,1.65,-0.3942765354967469,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,3.56,-1.3087099375570699,5.4,0.005931535833067224,3.58,-0.6677433837907328,5.48,0.05134058331102143,1.773,-1.1023825257615083
16,small,-1.1259532148065916,-0.783,537.938,0.97,26.0,131.993,1.4411803342203118,-0.23,711.692,1.0,,5,-0.267059930253647,11.975,1.372799370995787,3.804,0.8069734743518477,3,-0.4437220958852751,1.8,-0.15231386661286148,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,3.22,-1.4872732231886352,5.76,0.2555550777849526,3.43,-0.81720437179725,4.53,-0.8897887840470523,2.48,-0.6700845053203615
17,pain,-1.9274326187312332,-0.913,549.912,1.0,28.0,198.913,0.04293593994992016,-0.5,607.286,1.0,,4,-0.8615340841320809,10.508,0.4398099526288645,3.699,0.6576996632916365,14,1.275505761638717,1.15,-1.2008187651096978,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,4.26,-0.9410796436097297,2.0,-2.351624138156965,6.27,2.0125903344594755,3.47,-1.9398910255202713,3.136,-0.26897064194074
18,house,-2.451476844374268,-0.998,494.0,1.0,28.0,116.534,-1.023872746048971,-0.706,572.964,1.0,,5,-0.267059930253647,11.554,1.1050498514780818,4.418,1.6798698552182263,7,0.18145167048708571,1.6,-0.4749307584580417,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.16,-1.5187843912412644,7.19,1.2471152583160547,3.95,-0.29907294670799023,6.41,0.9726567008299773,5.783,1.3495482549584334
19,death,-1.5390233691369835,-0.85,545.531,1.0,26.0,127.451,-0.7494025501366351,-0.653,565.115,1.0,,5,-0.267059930253647,11.262,0.9193423462544,4.043,1.1467491014317575,2,-0.6000155374783653,1.85,-0.07165964365156631,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,5.37,-0.3581230346360898,1.89,-2.4278979981978197,5.53,1.2752494602939914,3.42,-1.989424150118065,2.769,-0.4933742819717172
20,fire,-1.1259532148065916,-0.783,545.188,1.0,26.0,171.212,0.39508637998838914,-0.432,636.077,1.0,,4,-0.8615340841320809,11.046,0.7819696711574292,4.041,1.1439057907448966,18,1.9006795280110778,1.1,-1.2814729880709925,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.25,-1.4715176391623208,4.32,-0.7429390900225902,6.05,1.7933808853832507,4.57,-0.8501622843688176,4.208,0.3865081104113242
21,hot,-0.3614651679861645,-0.659,592.441,0.97,27.0,203.962,-1.5262049913979638,-0.803,550.778,1.0,,3,-1.4560082380105148,10.85,0.6573166881990676,3.986,1.0657147468562145,23,2.682146735976529,1.05,-1.3621272110322877,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.37,-1.4084953030570624,5.73,0.23475311595562923,4.76,0.5080163885272024,5.0,-0.4241774128277951,3.0,-0.3521283941048079
22,child,-0.8855093936291991,-0.744,622.212,0.94,27.0,248.814,-0.27296371949635373,-0.561,588.852,1.0,,5,-0.267059930253647,11.078,0.8023211785792026,3.905,0.9505606640383366,3,-0.4437220958852751,1.85,-0.07165964365156631,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,5.145,-0.4762899148334495,7.2,1.2540492455924959,5.33,1.0759681429519683,5.2,-0.22604491443662156,5.696,1.296351751735831
23,war,-0.11485612062473621,-0.619,580.719,0.97,26.0,188.297,-1.370844503145698,-0.773,542.115,0.963,,3,-1.4560082380105148,11.603,1.136213097217672,3.95,1.0145351544927133,17,1.7443860864179876,1.0,-1.442781433993583,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,7.67,0.8498050740480285,2.23,-2.192142430798816,6.27,2.0125903344594755,3.27,-2.138023523911445,2.68,-0.5477936933143792
24,animal,0.3598662955460126,-0.542,619.879,1.0,26.0,189.335,-0.5111831348164941,-0.607,556.154,1.0,,6,0.3274142236247869,10.116,0.19050398671214125,3.366,0.18428843392925268,0,-0.9126024206645457,2.45,0.8961910318839748,5,0.33948432916265947,3,1.8356479815670002,1,-0.6133818164857131,2.89,-1.6605846474780956,7.06,1.1569734237223177,4.3,0.049669358640549624,5.72,0.2890995813804288,5.958,1.4565527154636677
25,woman,-0.7930310008686634,-0.729,545.697,1.0,27.0,154.538,-0.8840483066219322,-0.679,580.926,1.0,,5,-0.267059930253647,11.105,0.8194927629663246,4.346,1.577510670491224,3,-0.4437220958852751,1.9,0.008994579309728482,5,0.33948432916265947,2,0.5037522514300279,1,-0.6133818164857131,4.95,-0.578701211004494,7.09,1.1777753855516417,3.8,-0.4485339347145078,5.93,0.49713870469116084,5.333,1.0743939279449737
